seed_record_id,seed_zinc_id,bidirectional_seed_id,task,pair_id,target_uniprot,offtarget_uniprot,branch,hotspot_bw,fast_target,fast_offtarget,fast_dd,detail_target_median,detail_offtarget_median,detail_dd_median,detail_dd_worst,detail_dd_sd,generated_compound_count
232_q9h228_partial::ZINC000769652945,ZINC000769652945,A6BD-0289,232_q9h228_partial,O95136__Q9H228,Q9H228,O95136,partial,3.33x33,-8.134,-5.036,-3.098000000000001,-8.229,-5.259,-2.978999999999999,-2.951000000000001,0.1428223449682232,26
237_q9p1p5_full::ZINC000007423727,ZINC000007423727,A6BD-0297,237_q9p1p5_full,Q96RJ0__Q9P1P5,Q9P1P5,Q96RJ0,full,6.52x52,-5.71,-4.851,-0.859,-6.271,-4.706,-1.565,-1.419,0.0838146102352617,1
238_q9uby5_full::ZINC000734119092,ZINC000734119092,A6BD-0298,238_q9uby5_full,Q92633__Q9UBY5,Q9UBY5,Q92633,full,2.57x57,-10.03,-4.795,-5.234999999999999,-10.038,-4.931,-5.118,-4.786,0.2084674235142423,1
23_acm4_full::ZINC000768298079,ZINC000768298079,A6BD-0028,23_acm4_full,P08173__P20309,P08173,P20309,full,2.50x50,-7.917,-5.045,-2.872,-7.875,-6.004,-1.809,-1.627,0.1314390437511708,1
240_q9y5n1_full::ZINC000012749728,ZINC000012749728,A6BD-0300,240_q9y5n1_full,P21728__Q9Y5N1,Q9Y5N1,P21728,full,3.32x32,-8.191,-4.804,-3.387,-8.126,-5.197,-2.887,-2.758999999999999,0.0845497880935645,1
240_q9y5n1_partial::ZINC000012749728,ZINC000012749728,A6BD-0300,240_q9y5n1_partial,P21728__Q9Y5N1,Q9Y5N1,P21728,partial,3.32x32,-8.191,-4.804,-3.387,-8.126,-5.197,-2.887,-2.758999999999999,0.0845497880935645,7
241_q9y5n1_full::ZINC000770204457,ZINC000770204457,A6BD-0301,241_q9y5n1_full,P21918__Q9Y5N1,Q9Y5N1,P21918,full,5.46x461,-8.376,-5.103,-3.273,-8.428,-6.264,-2.466,-2.035000000000001,0.226483749723658,9
243_q9y5x5_partial::ZINC000018229970,ZINC000018229970,A6BD-0303,243_q9y5x5_partial,Q9GZQ6__Q9Y5X5,Q9Y5X5,Q9GZQ6,partial,2.68x67,-10.57,-7.082,-3.488,-10.58,-7.621,-2.981999999999999,-2.717,0.1347747091342521,1
244_q9y5y3_partial::ZINC000429188273,ZINC000429188273,A6BD-0304,244_q9y5y3_partial,Q9BZJ6__Q9Y5Y3,Q9Y5Y3,Q9BZJ6,partial,3.33x33,-5.346,-0.438,-4.908,-5.797,-4.44,-1.356999999999999,-1.29,0.0506776303927307,1
24_p08588_full::ZINC000012802330,ZINC000012802330,A6BD-0030,24_p08588_full,P08173__P08588,P08588,P08173,full,7.42x41,-8.406,-5.811,-2.595000000000001,-8.447,-6.513,-1.933999999999999,-1.87,0.0311555238547941,2
25_adrb1_full::ZINC000771724267,ZINC000771724267,A6BD-0033,25_adrb1_full,P08588__P21728,P08588,P21728,full,2.64x63,-9.509,-5.852,-3.657,-9.201,-7.334,-1.956,-1.398000000000001,0.3547932105075041,17
27_p08908_full::ZINC000009056348,ZINC000009056348,A6BD-0037,27_p08908_full,P08908__P21917,P08908,P21917,full,3.38x38,-8.848,-6.266,-2.582000000000001,-9.151,-7.248,-1.903,-1.815999999999999,0.1773063889304494,1
28_p08908_partial::ZINC001468710053,ZINC001468710053,A6BD-0038,28_p08908_partial,P08908__P35462,P08908,P35462,partial,6.59x59,-8.198,-5.008,-3.19,-7.881,-5.786,-2.054,-2.023000000000001,0.2113328075703235,2
29_p08912_full::ZINC000245318911,ZINC000245318911,A6BD-0039,29_p08912_full,P08172__P08912,P08912,P08172,full,2.50x50,-6.63,-4.513,-2.117,-6.741,-4.796,-1.892,-1.806999999999999,0.086248993552904,4
30_p08912_partial::ZINC000676220106,ZINC000676220106,A6BD-0040,30_p08912_partial,P08173__P08912,P08912,P08173,partial,2.50x50,-6.963,-4.689,-2.274,-7.382,-5.862,-1.486999999999999,-1.416,0.1215922146630561,4
31_p08912_full::ZINC000744265361,ZINC000744265361,A6BD-0041,31_p08912_full,P08912__P11229,P08912,P11229,full,3.47x47,-7.095,-4.971,-2.124,-6.882,-5.33,-1.568,-1.347,0.1482347987334805,1
33_acm5_full::ZINC000017149086,ZINC000017149086,A6BD-0043,33_acm5_full,P08912__P21728,P08912,P21728,full,3.32x32,-7.687,-3.361,-4.326,-8.46,-5.049,-3.495,-3.229,0.2046628664142299,1
35_p08913_full::ZINC000001612081,ZINC000001612081,A6BD-0046,35_p08913_full,P08913__P18825,P08913,P18825,full,6.58x58,-9.607,-4.729,-4.878,-9.593,-5.346,-4.249000000000001,-4.247,0.0038586123009301,7
35_p08913_partial::ZINC000001612081,ZINC000001612081,A6BD-0046,35_p08913_partial,P08913__P18825,P08913,P18825,partial,6.58x58,-9.607,-4.729,-4.878,-9.593,-5.346,-4.249000000000001,-4.247,0.0038586123009301,6
36_p0dms8_full::ZINC000006395255,ZINC000006395255,A6BD-0047,36_p0dms8_full,P0DMS8__P29275,P0DMS8,P29275,full,5.42x43,-6.57,-4.341,-2.229,-6.498,-4.749,-1.750999999999999,-1.691000000000001,0.0403429740544192,1
38_p11229_partial::ZINC001164797226,ZINC001164797226,A6BD-0049,38_p11229_partial,P08172__P11229,P11229,P08172,partial,2.68x67,-7.693,-6.151,-1.542,-8.385,-6.774,-1.627,-1.581,0.0468282915435621,1
42_m1_partial::ZINC000257243296,ZINC000257243296,A6BD-0053,42_m1_partial,P11229__P20309,P11229,P20309,partial,7.46x46,-7.024,-4.565,-2.459,-7.14,-5.455,-1.685,-1.599,0.0802163740558413,1
44_p13945_full::ZINC000002347657,ZINC000002347657,A6BD-0055,44_p13945_full,P07550__P13945,P13945,P07550,full,7.39x38,-11.328,-4.859,-6.468999999999999,-11.391,-5.336,-6.026999999999999,-6.014,0.071614709848373,13
45_p14416_full::ZINC000743221551,ZINC000743221551,A6BD-0057,45_p14416_full,P14416__P35462,P14416,P35462,full,2.68x67,-8.797,-5.767,-3.03,-8.188,-6.365,-1.823,-1.659999999999999,0.2524101600349894,14
45_p14416_partial::ZINC000743221551,ZINC000743221551,A6BD-0057,45_p14416_partial,P14416__P35462,P14416,P35462,partial,2.68x67,-8.797,-5.767,-3.03,-8.188,-6.365,-1.823,-1.659999999999999,0.2524101600349894,5
47_p18089_partial::ZINC000675558570,ZINC000675558570,A6BD-0061,47_p18089_partial,P08913__P18089,P18089,P08913,partial,6.58x58,-7.79,-5.742,-2.048,-7.87,-6.318,-1.591,-1.458,0.0708347058690549,4
49_p18825_full::ZINC000072342982,ZINC000072342982,A6BD-0063,49_p18825_full,P18089__P18825,P18825,P18089,full,7.39x38,-11.382,-6.669,-4.713,-11.095,-6.922,-3.965000000000001,-3.625999999999999,0.2288002525251136,1
50_m3_partial::ZINC001469584086,ZINC001469584086,A6BD-0067,50_m3_partial,P08912__P20309,P20309,P08912,partial,3.32x32,-8.075,-5.476,-2.599,-7.858,-6.54,-1.366,-1.314,0.1169653319958048,9
51_p20309_full::ZINC001164914336,ZINC001164914336,A6BD-0068,51_p20309_full,P11229__P20309,P20309,P11229,full,7.46x46,-6.596,-4.814,-1.782,-7.033,-5.409,-1.543,-1.5,0.0617107950217969,1
51_p20309_partial::ZINC001164914336,ZINC001164914336,A6BD-0068,51_p20309_partial,P11229__P20309,P20309,P11229,partial,7.46x46,-6.596,-4.814,-1.782,-7.033,-5.409,-1.543,-1.5,0.0617107950217969,16
56_s1p1_full::ZINC000096076727,ZINC000096076727,A6BD-0074,56_s1p1_full,P21453__Q99500,P21453,Q99500,full,5.40x40,-8.231,-5.444,-2.787,-8.142,-5.527,-2.228,-2.127,0.2167963714333494,3
56_s1p1_partial::ZINC000096076727,ZINC000096076727,A6BD-0074,56_s1p1_partial,P21453__Q99500,P21453,Q99500,partial,5.40x40,-8.231,-5.444,-2.787,-8.142,-5.527,-2.228,-2.127,0.2167963714333494,5
58_fpr1_full::ZINC000008624247,ZINC000008624247,A6BD-0076,58_fpr1_full,P21462__P25090,P21462,P25090,full,7.43x42,-6.918,-4.1,-2.818,-7.13,-5.45,-1.679999999999999,-1.417,0.1494411812944032,1
60_p21728_full::ZINC000731855411,ZINC000731855411,A6BD-0079,60_p21728_full,P08912__P21728,P21728,P08912,full,3.32x32,-8.89,-5.632,-3.258000000000001,-8.91,-5.618,-3.292,-3.251999999999999,0.0222311093340446,11
62_p21728_full::ZINC000766864988,ZINC000766864988,A6BD-0081,62_p21728_full,P13945__P21728,P21728,P13945,full,3.25x25,-6.942,-3.798,-3.144,-6.765,-4.414,-2.309,-2.22,0.0546158300210559,2
63_p21728_full::ZINC000104688159,ZINC000104688159,A6BD-0082,63_p21728_full,P21728__P21918,P21728,P21918,full,3.29x29,-10.233,-4.445,-5.788,-9.916,-6.652,-3.584000000000001,-2.212999999999999,0.952344592163059,1
63_p21728_partial::ZINC000104688159,ZINC000104688159,A6BD-0082,63_p21728_partial,P21728__P21918,P21728,P21918,partial,3.29x29,-10.233,-4.445,-5.788,-9.916,-6.652,-3.584000000000001,-2.212999999999999,0.952344592163059,1
66_drd1_full::ZINC000769191049,ZINC000769191049,A6BD-0085,66_drd1_full,P21728__Q9Y5N1,P21728,Q9Y5N1,full,3.32x32,-9.724,-5.669,-4.055,-9.707,-5.698,-3.957000000000001,-3.9,0.0746651785565988,23
67_p21917_partial::ZINC000003881936,ZINC000003881936,A6BD-0086,67_p21917_partial,P08908__P21917,P21917,P08908,partial,3.38x38,-7.575,-4.908,-2.667,-7.579,-5.418,-2.161,-2.141999999999999,0.0089566858950296,2
71_lshr_full::ZINC000003420016,ZINC000003420016,A6BD-0093,71_lshr_full,P22888__P23945,P22888,P23945,full,3.52x52,-7.986,-5.6,-2.386,-7.967,-6.317,-1.542000000000001,-1.529,0.1262123431188705,1
73_p23945_full::ZINC000742549914,ZINC000742549914,A6BD-0095,73_p23945_full,P22888__P23945,P23945,P22888,full,3.52x52,-9.485,-6.822,-2.662999999999999,-9.544,-7.374,-2.170000000000001,-2.168000000000001,0.0226421435969883,5
73_p23945_partial::ZINC000742549914,ZINC000742549914,A6BD-0095,73_p23945_partial,P22888__P23945,P23945,P22888,partial,3.52x52,-9.485,-6.822,-2.662999999999999,-9.544,-7.374,-2.170000000000001,-2.168000000000001,0.0226421435969883,1
74_ednrb_partial::ZINC000096156718,ZINC000096156718,A6BD-0096,74_ednrb_partial,P24530__P25101,P24530,P25101,partial,5.46x461,-8.353,-5.955,-2.398,-8.478,-7.22,-1.226,-1.087,0.2262009922367473,3
75_p25021_full::ZINC001164679898,ZINC001164679898,A6BD-0097,75_p25021_full,P25021__P28566,P25021,P28566,full,2.43x43,-7.415,-4.3,-3.115,-7.625,-5.794,-1.749,-1.739000000000001,0.1202774570177915,4
76_hrh2_full::ZINC000024111314,ZINC000024111314,A6BD-0099,76_hrh2_full,P25021__Q13639,P25021,Q13639,full,2.64x63,-8.914,-5.184,-3.73,-8.79,-7.391,-1.398999999999999,-1.09,0.30905339344521,2
77_cxcr1_partial::ZINC000071001018,ZINC000071001018,A6BD-0100,77_cxcr1_partial,P25024__P25025,P25024,P25025,partial,7.43x42,-6.516,-4.171,-2.345,-6.487,-5.252,-1.291,-1.06,0.1128548723902615,3
78_p25024_partial::ZINC000031806909,ZINC000031806909,A6BD-0101,78_p25024_partial,P25024__P51684,P25024,P51684,partial,4.64x65,-6.291,-4.062,-2.229,-6.233,-4.58,-1.638,-1.633,0.0084983658559877,2
79_p25025_partial::ZINC001465041897,ZINC001465041897,A6BD-0102,79_p25025_partial,P25024__P25025,P25025,P25024,partial,7.43x42,-6.737,-4.875,-1.862,-6.753,-5.712,-1.049,-1.022,0.1740619302304656,4
80_p25089_partial::ZINC001164981671,ZINC001164981671,A6BD-0103,80_p25089_partial,P21462__P25089,P25089,P21462,partial,7.43x42,-7.709,-5.305,-2.404,-8.106,-6.205,-1.912000000000001,-1.898,0.0610791835789133,2
81_p25089_full::ZINC001503426797,ZINC001503426797,A6BD-0104,81_p25089_full,P25089__P25090,P25089,P25090,full,2.43x43,-7.331,-4.071,-3.260000000000001,-6.886,-5.104,-1.984999999999999,-1.695000000000001,0.2549579486024225,1
81_p25089_partial::ZINC001503426797,ZINC001503426797,A6BD-0104,81_p25089_partial,P25089__P25090,P25089,P25090,partial,2.43x43,-7.331,-4.071,-3.260000000000001,-6.886,-5.104,-1.984999999999999,-1.695000000000001,0.2549579486024225,3
83_ada1d_full::ZINC000769830839,ZINC000769830839,A6BD-0107,83_ada1d_full,P25100__P35368,P25100,P35368,full,5.46x461,-8.86,-4.876,-3.984,-8.831,-5.718,-3.264,-3.113,0.0721433757642843,1
85_p25103_partial::ZINC000675989290,ZINC000675989290,A6BD-0109,85_p25103_partial,P21452__P25103,P25103,P21452,partial,3.40x40,-7.268,-4.653,-2.615,-7.434,-5.567,-1.867,-1.125999999999999,0.3538741144657081,1
87_p25103_full::ZINC000786084747,ZINC000786084747,A6BD-0111,87_p25103_full,P25103__P32247,P25103,P32247,full,3.28x28,-7.8,-3.513,-4.287,-7.653,-4.474,-3.194999999999999,-3.104,0.1081675654816278,14
89_5ht1d_full::ZINC000004821857,ZINC000004821857,A6BD-0113,89_5ht1d_full,P28221__P28222,P28221,P28222,full,7.46x46,-5.851,-2.766,-3.085,-6.226,-5.042,-1.185,-1.168,0.024796953217863,1
90_5ht1d_full::ZINC000008735285,ZINC000008735285,A6BD-0114,90_5ht1d_full,P28221__P28566,P28221,P28566,full,7.49x49,-9.319,-5.936,-3.383,-9.337,-6.488,-2.841,-2.784,0.0532060982302675,1
92_5ht1d_full::ZINC000020344994,ZINC000020344994,A6BD-0116,92_5ht1d_full,P28221__P47898,P28221,P47898,full,7.35x34,-8.979,-4.936,-4.043,-8.875,-5.628,-2.868,-2.811999999999999,0.3119658100924955,1
92_5ht1d_partial::ZINC000020344994,ZINC000020344994,A6BD-0116,92_5ht1d_partial,P28221__P47898,P28221,P47898,partial,7.35x34,-8.979,-4.936,-4.043,-8.875,-5.628,-2.868,-2.811999999999999,0.3119658100924955,1
96_5ht2a_partial::ZINC000009086175,ZINC000009086175,A6BD-0120,96_5ht2a_partial,P28223__P41595,P28223,P41595,partial,7.35x34,-11.597,-5.331,-6.266,-11.54,-5.511,-6.008999999999999,-4.842999999999999,0.5640785997240692,1
97_nmbr_full::ZINC000766625359,ZINC000766625359,A6BD-0121,97_nmbr_full,P28336__P30550,P28336,P30550,full,2.46x46,-7.832,-5.229,-2.603,-7.807,-6.087,-1.707,-1.414,0.1443752825875062,1
98_p28336_partial::ZINC000306129509,ZINC000306129509,A6BD-0122,98_p28336_partial,P28336__P32247,P28336,P32247,partial,2.61x60,-9.831,-6.45,-3.380999999999999,-9.359,-6.568,-2.788000000000001,-2.78,0.1098857993049554,1
99_p28566_full::ZINC001128975210,ZINC001128975210,A6BD-0123,99_p28566_full,P18825__P28566,P28566,P18825,full,7.53x53,-9.75,-6.173,-3.577,-9.784,-6.302,-3.492000000000001,-3.473000000000001,0.0830943239136498,14
99_p28566_partial::ZINC001128975210,ZINC001128975210,A6BD-0123,99_p28566_partial,P18825__P28566,P28566,P18825,partial,7.53x53,-9.75,-6.173,-3.577,-9.784,-6.302,-3.492000000000001,-3.473000000000001,0.0830943239136498,7
