pair_id,rank,uniprot_a,name_a,uniprot_b,name_b,surface_distance,pair_terminal_status,seed_task_records,generated_compounds,final_selected_count,hotspot1_bw,hotspot1_residues,hotspot1_fp_diff,hotspot2_bw,hotspot2_residues,hotspot2_fp_diff,hotspot3_bw,hotspot3_residues,hotspot3_fp_diff
Q92633__Q9HBW0,142,Q92633,LPAR1,Q9HBW0,LPAR2,0.795,upstream_candidate_gate,0,0,0,5.47x47,N214->S194,1.73,2.46x46,L91->L71,1.568,3.37x37,T133->T113,1.566
P24530__P25101,143,P24530,EDNRB,P25101,EDNRA,0.795,selected,1,3,1,5.46x461,Y281->Y263,2.611,7.35x34,D368->D351,2.568,2.50x50,D147->D126,2.356
P35346__P41145,144,P35346,SSR5,P41145,OPRK,0.795,direction_holds_only,0,0,0,3.25x25,C112->C131,2.377,6.48x48,W261->W287,2.254,3.35x35,N122->N141,2.232
P25021__P28566,145,P25021,HRH2,P28566,5HT1E,0.795,selected,1,4,2,2.43x43,I57->I61,2.349,2.40x40,N54->N58,1.834,3.32x32,D98->D102,1.821
O43603__P30874,146,O43603,GALR2,P30874,SSR2,0.795,selected,2,9,3,3.37x37,H110->F127,2.422,3.36x36,M109->Q126,2.153,2.46x46,L67->L85,2.136
Q8WXD0__Q9HBX9,147,Q8WXD0,RXFP2,Q9HBX9,RXFP1,0.796,final_review_no_selection,1,31,0,7.34x33,T672->T662,2.102,3.54x54,I524->I514,1.844,7.54x54,T692->T682,1.798
P41146__P48145,148,P41146,OPRX,P48145,NPBW1,0.796,selected,2,4,2,6.61x61,G289->T277,1.836,6.60x60,L288->T276,1.792,6.59x59,G287->L275,1.711
O00421__P35346,149,O00421,CCRL2,P35346,SSR5,0.796,direction_holds_only,0,0,0,6.59x59,T262->L272,2.2,7.39x38,K286->V290,2.162,3.33x33,F111->G120,2.137
P25929__P50391,150,P25929,NPY1R,P50391,NPY4R,0.797,selected,1,7,2,7.49x49,N316->N318,2.398,7.53x53,Y320->Y322,2.353,6.48x48,W276->W278,2.128
P30411__P51685,151,P30411,BKRB2,P51685,CCR8,0.797,direction_holds_only,0,0,0,2.60x60,W113->Q91,2.291,3.33x33,S138->Y114,2.167,1.31x31,L56->G34,1.946
P46092__P49682,152,P46092,CCR10,P49682,CXCR3,0.798,selected,3,16,3,3.35x35,S123->N134,2.801,3.38x38,A126->A137,2.371,3.32x32,Y120->F131,2.179
P25103__P32247,153,P25103,NK1R,P32247,BRS3,0.798,selected,1,14,3,3.28x28,H108->L123,2.199,7.43x42,M295->F320,2.114,7.53x53,Y305->L330,2.069
P32246__P46094,154,P32246,CCR1,P46094,XCR1,0.798,final_review_no_selection,4,17,0,3.33x33,Y114->S110,2.382,2.60x60,W90->W87,1.739,1.31x31,G33->A30,1.687
P21453__Q92633,155,P21453,S1PR1,Q92633,LPAR1,0.798,upstream_candidate_gate,1,2,0,6.58x58,D279->D281,1.869,7.33x32,F291->A291,1.74,6.55x55,L276->L278,1.689
Q99677__Q99678,156,Q99677,LPAR4,Q99678,GPR20,0.798,upstream_candidate_gate,1,1,0,7.39x38,L297->V283,2.791,3.36x36,I122->M134,2.187,1.32x32,Y39->W53,1.949
P30939__P47898,157,P30939,5HT1F,P47898,5HT5A,0.799,final_review_no_selection,2,25,0,6.52x52,F310->F302,1.776,7.53x53,Y347->Y338,1.715,7.35x34,S329->K320,1.624
Q96RI9__Q96RJ0,158,Q96RI9,TAAR9,Q96RJ0,TAAR1,0.799,selected,2,9,3,2.40x40,N68->N59,3.322,4.61x61,F168->I159,2.059,7.45x45,N303->N296,1.789
P18825__P28566,159,P18825,ADA2C,P28566,5HT1E,0.799,final_review_no_selection,2,21,0,7.53x53,Y437->Y344,2.194,7.47x47,S431->L338,1.778,7.39x38,F423->T330,1.523
P32246__P49238,160,P32246,CCR1,P49238,CX3C1,0.799,final_review_no_selection,1,1,0,3.33x33,Y114->F110,2.668,3.47x47,T128->S124,1.586,3.38x38,S119->G115,1.506
P32302__P49682,161,P32302,CXCR5,P49682,CXCR3,0.799,upstream_candidate_gate,1,1,0,2.56x56,I103->T105,1.786,2.46x46,L93->L95,1.677,7.35x34,I304->K300,1.617
P28566__P34969,162,P28566,5HT1E,P34969,5HT7R,0.799,direction_holds_only,0,0,0,7.46x46,S337->S377,2.838,2.50x50,D68->D127,2.537,3.38x38,C108->A168,2.152
P35372__P41143,163,P35372,OPRM,P41143,OPRD,0.8,final_review_no_selection,2,6,0,2.50x50,D116->D95,2.464,7.46x46,S331->S311,2.124,3.50x50,R167->R146,1.858
